siteID,plotID,siteName,plotType,longitude,latitude,elevation,Year,Landsat_NPP
CPER,CPER_074,Central Plains Experimental Range NEON,tower,-104.746711,40.820001,1646.12,2015,2374.0647482014383
CPER,CPER_074,Central Plains Experimental Range NEON,tower,-104.746711,40.820001,1646.12,2020,1437.7194244604316
STER,STER_009,North Sterling NEON,tower,-103.031839,40.462797,1361.13,2016,5663.49090909091
STER,STER_009,North Sterling NEON,tower,-103.031839,40.462797,1361.13,2017,4624.127272727273
STER,STER_009,North Sterling NEON,tower,-103.031839,40.462797,1361.13,2018,5506.993939393939
STER,STER_009,North Sterling NEON,tower,-103.031839,40.462797,1361.13,2019,6179.933333333333
STER,STER_009,North Sterling NEON,tower,-103.031839,40.462797,1361.13,2013,2869.351515151515
STER,STER_009,North Sterling NEON,tower,-103.031839,40.462797,1361.13,2014,6762.3696969696975
STER,STER_009,North Sterling NEON,tower,-103.031839,40.462797,1361.13,2015,6883.163636363636
STER,STER_009,North Sterling NEON,tower,-103.031839,40.462797,1361.13,2020,3722.787878787879
STER,STER_008,North Sterling NEON,tower,-103.030411,40.463042,1363.98,2016,4842.630434782608
STER,STER_008,North Sterling NEON,tower,-103.030411,40.463042,1363.98,2017,2955.101449275362
STER,STER_008,North Sterling NEON,tower,-103.030411,40.463042,1363.98,2018,4375.173913043478
STER,STER_008,North Sterling NEON,tower,-103.030411,40.463042,1363.98,2019,4679.615942028985
STER,STER_008,North Sterling NEON,tower,-103.030411,40.463042,1363.98,2013,2234.0217391304345
STER,STER_008,North Sterling NEON,tower,-103.030411,40.463042,1363.98,2014,5524.152173913043
STER,STER_008,North Sterling NEON,tower,-103.030411,40.463042,1363.98,2015,5583.630434782608
STER,STER_008,North Sterling NEON,tower,-103.030411,40.463042,1363.98,2020,2904.9347826086955
STER,STER_015,North Sterling NEON,tower,-103.032253,40.460924,1363.08,2016,5400.129496402877
STER,STER_015,North Sterling NEON,tower,-103.032253,40.460924,1363.08,2017,3329.1079136690646
STER,STER_015,North Sterling NEON,tower,-103.032253,40.460924,1363.08,2018,5606.25179856115
STER,STER_015,North Sterling NEON,tower,-103.032253,40.460924,1363.08,2019,5883.712230215826
STER,STER_015,North Sterling NEON,tower,-103.032253,40.460924,1363.08,2013,2802.712230215827
STER,STER_015,North Sterling NEON,tower,-103.032253,40.460924,1363.08,2014,6558.158273381295
STER,STER_015,North Sterling NEON,tower,-103.032253,40.460924,1363.08,2015,6354.028776978416
STER,STER_015,North Sterling NEON,tower,-103.032253,40.460924,1363.08,2020,3929.294964028776
STER,STER_014,North Sterling NEON,tower,-103.03113,40.462798,1361.52,2016,5444.616766467067
STER,STER_014,North Sterling NEON,tower,-103.03113,40.462798,1361.52,2017,4768.856287425149
STER,STER_014,North Sterling NEON,tower,-103.03113,40.462798,1361.52,2018,5405.479041916168
STER,STER_014,North Sterling NEON,tower,-103.03113,40.462798,1361.52,2019,6223.880239520959
STER,STER_014,North Sterling NEON,tower,-103.03113,40.462798,1361.52,2013,3000.443113772455
STER,STER_014,North Sterling NEON,tower,-103.03113,40.462798,1361.52,2014,6715.431137724552
STER,STER_014,North Sterling NEON,tower,-103.03113,40.462798,1361.52,2015,6884.017964071857
STER,STER_014,North Sterling NEON,tower,-103.03113,40.462798,1361.52,2020,3619.6766467065872
STER,STER_013,North Sterling NEON,tower,-103.032235,40.461739,1362.67,2016,5330
STER,STER_013,North Sterling NEON,tower,-103.032235,40.461739,1362.67,2017,4109
STER,STER_013,North Sterling NEON,tower,-103.032235,40.461739,1362.67,2018,5626
STER,STER_013,North Sterling NEON,tower,-103.032235,40.461739,1362.67,2019,5975
STER,STER_013,North Sterling NEON,tower,-103.032235,40.461739,1362.67,2013,2857
STER,STER_013,North Sterling NEON,tower,-103.032235,40.461739,1362.67,2014,6499
STER,STER_013,North Sterling NEON,tower,-103.032235,40.461739,1362.67,2015,6634
STER,STER_013,North Sterling NEON,tower,-103.032235,40.461739,1362.67,2020,3588
STER,STER_007,North Sterling NEON,tower,-103.030826,40.461156,1362.31,2016,5396.814285714286
STER,STER_007,North Sterling NEON,tower,-103.030826,40.461156,1362.31,2017,3543.942857142857
STER,STER_007,North Sterling NEON,tower,-103.030826,40.461156,1362.31,2018,6004.899999999999
STER,STER_007,North Sterling NEON,tower,-103.030826,40.461156,1362.31,2019,6243.657142857142
STER,STER_007,North Sterling NEON,tower,-103.030826,40.461156,1362.31,2013,3272.3142857142857
STER,STER_007,North Sterling NEON,tower,-103.030826,40.461156,1362.31,2014,6853.057142857141
STER,STER_007,North Sterling NEON,tower,-103.030826,40.461156,1362.31,2015,6067.3
STER,STER_007,North Sterling NEON,tower,-103.030826,40.461156,1362.31,2020,3797.5
JORN,JORN_063,Jornada Experimental Range NEON,tower,-106.841109,32.592451,1317.4,2016,439.1869918699187
